slug,name,programming_kind,technical,load,overall,recommended_age_min,attention_demand,source,notes
nordic-lean-isometric-partial-range,"Nordic Lean Isometric — Partial Range",exercise,7,1,7,6,moderate,reviewed,"Workout exercise — load 1/10, technical 7/10"
falling-start-to-5-10-yard-sprint,"Falling Start to 5–10 Yard Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
two-point-start-to-5-10-yard-sprint,"Two-Point Start to 5–10 Yard Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
three-point-start-acceleration,"Three-Point Start Acceleration",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
half-kneeling-start-sprint,"Half-Kneeling Start Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
push-up-prone-start-sprint,"Push-Up / Prone Start Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
lateral-start-to-sprint-breakout,"Lateral Start to Sprint Breakout",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
backpedal-to-sprint-turn,"Backpedal to Sprint Turn",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-chase-acceleration,"Partner Chase Acceleration",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
light-sled-sprint-band-resisted-acceleration,"Light Sled Sprint / Band-Resisted Acceleration",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
low-incline-hill-sprint-acceleration,"Low-Incline Hill Sprint Acceleration",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
build-up-sprint-stride-out,"Build-Up Sprint / Stride-Out",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
flying-10,"Flying 10",exercise,3,3,3,9,low,reviewed,"Workout exercise — load 3/10, technical 3/10"
flying-20,"Flying 20",exercise,3,3,3,9,low,reviewed,"Workout exercise — load 3/10, technical 3/10"
sprint-float-sprint,"Sprint-Float-Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
ins-and-outs,"Ins-and-Outs",exercise,3,3,3,9,low,reviewed,"Workout exercise — load 3/10, technical 3/10"
wicket-runs,"Wicket Runs",exercise,3,3,3,9,low,reviewed,"Workout exercise — load 3/10, technical 3/10"
mini-hurdle-sprint-rhythm,"Mini-Hurdle Sprint Rhythm",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
curved-sprint-arc-run,"Curved Sprint / Arc Run",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
fast-low-pogos,"Fast Low Pogos",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
forward-backward-pogos,"Forward / Backward Pogos",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
lateral-line-hops,"Lateral Line Hops",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
single-leg-pogo-hold-to-hop,"Single-Leg Pogo Hold-to-Hop",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
snap-down-to-stick,"Snap Down to Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
snap-down-to-rebound,"Snap-Down to Rebound",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
drop-landing-to-stick,"Drop Landing to Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
depth-drop-to-rebound,"Depth Drop to Rebound",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
hurdle-hop-series-low-hurdles,"Hurdle Hop Series — Low Hurdles",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
countermovement-vertical-jump,"Countermovement Vertical Jump",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
squat-jump,"Squat Jump",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
broad-jump-to-stick,"Broad Jump to Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
single-broad-jump-to-rebound,"Single Broad Jump to Rebound",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
lateral-bound-to-stick,"Lateral Bound to Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
skater-bound-continuous,"Skater Bound Continuous",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
split-jump-scissor-jump,"Split Jump / Scissor Jump",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
medicine-ball-chest-pass,"Medicine Ball Chest Pass",exercise,3,2,3,7,low,reviewed,"Workout exercise — load 2/10, technical 3/10"
medicine-ball-overhead-slam,"Medicine Ball Overhead Slam",exercise,3,2,3,7,low,reviewed,"Workout exercise — load 2/10, technical 3/10"
medicine-ball-rotational-scoop-toss,"Medicine Ball Rotational Scoop Toss",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
medicine-ball-shot-put-throw,"Medicine Ball Shot-Put Throw",exercise,5,2,5,7,moderate,reviewed,"Workout exercise — load 2/10, technical 5/10"
sprint-to-stick-deceleration,"Sprint to Stick Deceleration",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
5-yard-accel-to-decel-stick,"5-Yard Accel to Decel Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
lateral-bound-to-decel-stick,"Lateral Bound to Decel Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
pro-agility-5-10-5-technical-rep,"Pro-Agility 5-10-5 Technical Rep",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
90-degree-cut-drill,"90-Degree Cut Drill",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
180-degree-turn-shuttle-cut,"180-Degree Turn / Shuttle Cut",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
curved-run-to-cut,"Curved Run to Cut",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
reactive-gate-sprint,"Reactive Gate Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
mirror-shuffle-to-sprint-exit,"Mirror Shuffle to Sprint Exit",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
ball-drop-sprint-catch,"Ball Drop Sprint Catch",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
power-hurdle-to-cartwheel-round-off-entry,"Power Hurdle to Cartwheel / Round-Off Entry",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
round-off-rebound-snap-down-to-stick,"Round-Off Rebound / Snap-Down to Stick",skill_drill,6,1,6,,moderate,reviewed,"Skill drill — gates on class/athlete level (INTERMEDIATE)"
high-bar-back-squat,"High-Bar Back Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
low-bar-back-squat,"Low-Bar Back Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
front-squat,"Front Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
pause-back-squat,"Pause Back Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
tempo-back-squat,"Tempo Back Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
pin-squat,"Pin Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
barbell-box-squat,"Barbell Box Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
zercher-squat,"Zercher Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
anderson-squat,"Anderson Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-hack-squat,"Barbell Hack Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
heels-elevated-front-squat,"Heels-Elevated Front Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
kang-squat,"Kang Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
barbell-split-squat,"Barbell Split Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-reverse-lunge,"Barbell Reverse Lunge",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
front-rack-reverse-lunge,"Front-Rack Reverse Lunge",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
barbell-walking-lunge,"Barbell Walking Lunge",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-step-up,"Barbell Step-Up",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-bulgarian-split-squat,"Barbell Bulgarian Split Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-lateral-lunge,"Barbell Lateral Lunge",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-single-leg-romanian-deadlift,"Barbell Single-Leg Romanian Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
conventional-deadlift,"Conventional Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
sumo-deadlift,"Sumo Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
stiff-leg-deadlift,"Stiff-Leg Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
deficit-deadlift,"Deficit Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
rack-pull,"Rack Pull",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
block-pull,"Block Pull",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
snatch-grip-deadlift,"Snatch-Grip Deadlift",exercise,7,5,7,13,moderate,reviewed,"Workout exercise — load 5/10, technical 7/10"
clean-grip-deadlift,"Clean-Grip Deadlift",exercise,7,5,7,13,moderate,reviewed,"Workout exercise — load 5/10, technical 7/10"
barbell-good-morning,"Barbell Good Morning",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
barbell-hip-thrust,"Barbell Hip Thrust",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
barbell-glute-bridge,"Barbell Glute Bridge",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-bench-press,"Barbell Bench Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
paused-bench-press,"Paused Bench Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
close-grip-bench-press,"Close-Grip Bench Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
incline-barbell-bench-press,"Incline Barbell Bench Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-floor-press,"Barbell Floor Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
bench-pin-press,"Bench Pin Press",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
strict-overhead-press,"Strict Overhead Press",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
seated-barbell-overhead-press,"Seated Barbell Overhead Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-z-press,"Barbell Z Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
bent-over-barbell-row,"Bent-Over Barbell Row",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
pendlay-row,"Pendlay Row",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
yates-row,"Yates Row",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
barbell-seal-row,"Barbell Seal Row",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
meadows-row,"Meadows Row",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-t-bar-row,"Barbell T-Bar Row",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
barbell-rollout,"Barbell Rollout",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
double-dumbbell-front-squat,"Double Dumbbell Front Squat",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
heels-elevated-goblet-squat,"Heels-Elevated Goblet Squat",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
dumbbell-box-squat,"Dumbbell Box Squat",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-sumo-squat,"Dumbbell Sumo Squat",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-split-squat,"Dumbbell Split Squat",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
front-foot-elevated-dumbbell-split-squat,"Front-Foot-Elevated Dumbbell Split Squat",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-bulgarian-split-squat,"Dumbbell Bulgarian Split Squat",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-reverse-lunge,"Dumbbell Reverse Lunge",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-step-up,"Dumbbell Step-Up",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-romanian-deadlift,"Dumbbell Romanian Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
staggered-stance-dumbbell-rdl,"Staggered-Stance Dumbbell RDL",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
single-leg-dumbbell-rdl,"Single-Leg Dumbbell RDL",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-deadlift-from-floor,"Dumbbell Deadlift from Floor",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
dumbbell-sumo-deadlift,"Dumbbell Sumo Deadlift",exercise,3,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 3/10"
dumbbell-hip-thrust,"Dumbbell Hip Thrust",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-glute-bridge,"Dumbbell Glute Bridge",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-hamstring-curl,"Dumbbell Hamstring Curl",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
standing-dumbbell-calf-raise,"Standing Dumbbell Calf Raise",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
seated-dumbbell-calf-raise,"Seated Dumbbell Calf Raise",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-floor-press,"Dumbbell Floor Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-incline-press,"Dumbbell Incline Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
close-grip-dumbbell-floor-press,"Close-Grip Dumbbell Floor Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-squeeze-press,"Dumbbell Squeeze Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-strict-overhead-press,"Dumbbell Strict Overhead Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
seated-dumbbell-overhead-press,"Seated Dumbbell Overhead Press",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
half-kneeling-single-arm-dumbbell-press,"Half-Kneeling Single-Arm Dumbbell Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-z-press,"Dumbbell Z-Press",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-skull-crusher,"Dumbbell Skull Crusher",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
chest-supported-dumbbell-row,"Chest-Supported Dumbbell Row",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-bent-over-row,"Dumbbell Bent-Over Row",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-renegade-row,"Dumbbell Renegade Row",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-pullover,"Dumbbell Pullover",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
dumbbell-rear-delt-row,"Dumbbell Rear-Delt Row",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-shrug,"Dumbbell Shrug",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-hammer-curl,"Dumbbell Hammer Curl",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-zottman-curl,"Dumbbell Zottman Curl",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-reverse-curl,"Dumbbell Reverse Curl",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-farmer-carry,"Dumbbell Farmer Carry",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
dumbbell-suitcase-carry,"Dumbbell Suitcase Carry",exercise,5,5,5,12,moderate,reviewed,"Workout exercise — load 5/10, technical 5/10"
dumbbell-front-rack-carry,"Dumbbell Front-Rack Carry",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-waiter-carry,"Dumbbell Waiter Carry",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
double-dumbbell-overhead-carry,"Double Dumbbell Overhead Carry",exercise,5,4,5,10,moderate,reviewed,"Workout exercise — load 4/10, technical 5/10"
dumbbell-dead-bug-pullover,"Dumbbell Dead Bug Pullover",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
dumbbell-plank-pull-through,"Dumbbell Plank Pull-Through",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-hollow-body-pullover-hold,"Dumbbell Hollow-Body Pullover Hold",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
dumbbell-windmill,"Dumbbell Windmill",exercise,3,4,4,10,low,reviewed,"Workout exercise — load 4/10, technical 3/10"
dumbbell-turkish-get-up-to-tall-sit,"Dumbbell Turkish Get-Up to Tall Sit",exercise,7,4,7,10,moderate,reviewed,"Workout exercise — load 4/10, technical 7/10"
line-pogo-hops,"Line Pogo Hops",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
lateral-line-pogo-hops,"Lateral Line Pogo Hops",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
forward-back-line-hops,"Forward-Back Line Hops",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
single-leg-line-hop-and-stick,"Single-Leg Line Hop and Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
snap-down-to-athletic-stick,"Snap-Down to Athletic Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
single-leg-snap-down-stick,"Single-Leg Snap-Down Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
drop-landing-to-lateral-stick,"Drop Landing to Lateral Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
low-box-drop-to-stick,"Low Box Drop to Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
skater-bound-to-stick,"Skater Bound to Stick",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
5-yard-acceleration-decel-stick,"5-Yard Acceleration Decel Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
10-yard-build-up-to-breakdown,"10-Yard Build-Up to Breakdown",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
backpedal-to-decel-stick,"Backpedal to Decel Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
lateral-shuffle-to-braking-stick,"Lateral Shuffle to Braking Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
closeout-deceleration,"Closeout Deceleration",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
curved-run-decel,"Curved Run Decel",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
45-degree-cut-and-reaccelerate,"45-Degree Cut and Reaccelerate",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
90-degree-speed-cut,"90-Degree Speed Cut",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
180-degree-turn-and-sprint,"180-Degree Turn and Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
5-0-5-change-of-direction,"5-0-5 Change of Direction",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
pro-agility-5-10-5,"Pro Agility 5-10-5",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
t-drill,"T-Drill",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
l-drill-3-cone,"L-Drill / 3-Cone",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
w-drill-plant-and-drive,"W-Drill Plant-and-Drive",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
box-drill-change-of-direction,"Box Drill Change of Direction",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
zig-zag-cone-cut-drill,"Zig-Zag Cone Cut Drill",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
figure-8-cone-run,"Figure-8 Cone Run",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
crossover-step-and-go,"Crossover Step and Go",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
shuffle-to-sprint-transition,"Shuffle-to-Sprint Transition",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
sprint-to-backpedal-transition,"Sprint-to-Backpedal Transition",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
backpedal-to-sprint-open-turn,"Backpedal-to-Sprint Open Turn",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
carioca-quick-hips,"Carioca Quick Hips",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
crossover-run-to-stick,"Crossover Run to Stick",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
receiver-3-step-breakdown-break,"Receiver 3-Step Breakdown Break",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
route-stem-break-series,"Route Stem Break Series",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
soccer-close-control-cut-and-go,"Soccer Close-Control Cut-and-Go",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
soccer-ball-shield-to-burst,"Soccer Ball Shield-to-Burst",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
lacrosse-split-dodge-to-acceleration,"Lacrosse Split Dodge to Acceleration",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
lacrosse-roll-dodge-to-reaccelerate,"Lacrosse Roll Dodge to Reaccelerate",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
resisted-lateral-shuffle-to-sprint,"Resisted Lateral Shuffle-to-Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-mirror-shuffle,"Partner Mirror Shuffle",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
partner-mirror-shuffle-with-crossover-exit,"Partner Mirror Shuffle with Crossover Exit",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
color-call-cone-cut,"Color-Call Cone Cut",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
ball-drop-reaction-sprint,"Ball Drop Reaction Sprint",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
tennis-ball-lateral-reaction,"Tennis Ball Lateral Reaction",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
partner-chase-to-reactive-45-cut,"Partner Chase to Reactive 45 Cut",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
4-cone-reactive-drill,"4-Cone Reactive Drill",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
rear-foot-elevated-split-squat-iso-cut-position,"Rear-Foot Elevated Split Squat Iso Cut Position",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
short-lever-copenhagen-plank,"Short-Lever Copenhagen Plank",exercise,3,1,3,6,low,reviewed,"Workout exercise — load 1/10, technical 3/10"
repeat-cod-shuttle-intervals,"Repeat COD Shuttle Intervals",exercise,5,1,5,6,moderate,reviewed,"Workout exercise — load 1/10, technical 5/10"
wall-drill-iso-lean-march,"Wall Drill Iso Lean March",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
wall-drill-fast-switch,"Wall Drill Fast Switch",skill_drill,2,1,2,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
low-dribble-run,"Low Dribble Run",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
high-dribble-run,"High Dribble Run",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
ankling-drill,"Ankling Drill",skill_drill,4,1,4,,low,reviewed,"Skill drill — gates on class/athlete level (BEGINNER)"
sprint-arm-action-switches,"Sprint Arm Action Switches",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
falling-start-10m,"Falling Start 10m",exercise,4,1,4,6,low,reviewed,"Workout exercise — load 1/10, technical 4/10"
